id,cleaned_text,sentiment,category
1595,overall my health is feeling dedicated and improving,positive,Hope for Future
422,my symptoms have not improved despite the treatment,negative,Treatment Response
334,the pain is not sparse and antagonistic,negative,Additional Negative Terms
574,the cost of treatment has been overwhelming,negative,Fear of Future
594,my symptoms have not improved despite the treatment,negative,Physical Improvement
465,the pain is affirmative,positive,Additional Positive Terms
248,the explanation was not puzzled dejected and handicapped,negative,Depression and Hopelessness
1527,the path to recovery feels accommodating,positive,Additional Positive Terms
339,the medication caused side effects and discomfort,negative,Social Support
474,i am dissatisfied with the overall communication,negative,Additional Negative Terms
571,i felt humane motivated and logical during my last consultation,positive,Additional Positive Terms
1550,im insubstantial and impaired about my condition,negative,Additional Negative Terms
75,my experience at the hospital has been excellent,positive,Treatment Response
1462,the side effects are not confident and pliable,positive,Trust in Healthcare
358,the doctors explanation was rushed and unhelpful,negative,Trust in Healthcare
330,i feel optimistic about the results of the therapy,positive,Pain and Discomfort
1868,the medication is not making me feel incensed,negative,Frustration
725,the treatment results are yet to be seen,neutral,Pain and Discomfort
96,the medication has improved my symptoms significantly,positive,Hope for Future
913,the service was average not particularly good or bad,neutral,Treatment Concerns
1193,the pain is not overcoming,negative,Additional Negative Terms
1690,i do not have empowered welcomed and endurable in my healthcare team,positive,Clarity
1806,my health is not ready and adjustable,positive,Additional Positive Terms
49,the treatment plan was effective and reassuring,positive,Pain and Discomfort
1335,i feel uninformed and dispirited about the information i received,negative,Depression and Hopelessness
445,the doctors explanation was rushed and unhelpful,negative,Treatment Concerns
1415,im noticing needy changes in my daily life,negative,Financial Concerns
456,the cost of treatment has been overwhelming,negative,Financial Concerns
1455,im erudite appreciated and excited with how the treatment is going,positive,Clarity
874,i am not connected and assisted about my condition,positive,Social Support
946,i received the prescribed medication as planned,neutral,Frustration
921,the hospital environment was clean and organized,neutral,Additional Negative Terms
813,the improvements are rarely bankrupt and detached,negative,Additional Negative Terms
455,the doctors explanation was rushed and unhelpful,negative,Physical Improvement
1988,i have defended in my healthcare team,positive,Social Support
460,i did not feel heard during my consultation,negative,Physical Improvement
409,my symptoms have not improved despite the treatment,negative,Pain and Discomfort
562,my symptoms are not horrorstruck,negative,Fear of Future
766,this whole situation has made me feel comfortable,positive,Treatment Response
779,the results are pending so i cannot comment fully,neutral,Depression and Hopelessness
574,the cost of treatment has been overwhelming,negative,Fear of Future
407,the doctors explanation was rushed and unhelpful,negative,Fear of Future
42,i feel confident about my recovery after the treatment,positive,Fear of Future
81,i am hopeful about my future health progress,positive,Additional Positive Terms
229,i am hopeful about my future health progress,positive,Physical Improvement
448,ive been experiencing affable and progressing due to side effects,positive,Additional Positive Terms
160,the treatment plan was effective and reassuring,positive,Financial Concerns
1549,i was hoping to feel nutritious but instead i feel nutritious,positive,Additional Positive Terms
500,the treatment plan felt confusing and unclear,negative,Trust in Healthcare
256,the doctor was very supportive and explained everything clearly,positive,Depression and Hopelessness
670,the appointment went as expected,neutral,Fear of Future
507,the latest tests show my condition is limited and skeptical,negative,Limitations
682,i am waiting for further diagnosis before forming an opinion,neutral,Additional Negative Terms
1469,i am not seeing encouraged and withstandable signs of progress,positive,Treatment Response
1062,i feel enthusiastic connected and educated regarding my care,positive,Trust in Healthcare
897,the consultation was neither too long nor too short,neutral,Additional Positive Terms
1966,im trying to stay congenial obtainable and abundant despite the challenges,positive,Additional Positive Terms
268,i trust the healthcare team with my recovery,positive,Additional Negative Terms
819,the overall experience was acceptable but not exceptional,neutral,Trust in Healthcare
684,the hospital environment was clean and organized,neutral,Additional Negative Terms
671,i found the doctors explanation very adaptable tough and wholesome,positive,Additional Positive Terms
898,i received the prescribed medication as planned,neutral,Trust in Healthcare
407,the doctors explanation was rushed and unhelpful,negative,Fear of Future
1551,i feel mischaracterized and scared about the information i received,negative,Emotional Distress
1910,i found the doctors explanation very fervent and eager,positive,Hope for Future
92,the treatment plan was effective and reassuring,positive,Trust in Healthcare
300,since the treatment ive been untroubled and eager,positive,Comfort
213,i do not have promoting equilibrated and following in my healthcare team,positive,Gratitude Toward Healthcare
1670,im trying to stay regular hardy and abundant despite the challenges,positive,Additional Positive Terms
976,the process was standard and nothing unusual,neutral,Frustration
366,the medication is making me feel brittle,negative,Additional Negative Terms
994,ive been feeling pointless about my energy levels,negative,Treatment Concerns
33,i felt comfortable and respected during my consultation,positive,Depression and Hopelessness
301,the doctor said my condition is fragile lost and intense,negative,Additional Negative Terms
367,my symptoms have not improved despite the treatment,negative,Hope for Future
291,i am not altruistic and independent with the treatment,positive,Additional Positive Terms
1158,my recovery has not been dominating unwilling and ineffective,negative,Additional Negative Terms
1384,the treatment plan seems to be usual and benign,positive,Additional Positive Terms
518,the waiting time was too long and frustrating,negative,Treatment Concerns
1545,im looking forward to a incensed and grave future,negative,Additional Negative Terms
137,i feel nourishing about the information i received,positive,Additional Positive Terms
693,the hospital environment was clean and organized,neutral,Treatment Response
277,the medication has improved my symptoms significantly,positive,Communication
1730,i feel thorough about the information i received,positive,Communication
676,the service was average not particularly good or bad,neutral,Social Support
1166,although the treatment is uncaring i still feel lethargic,negative,Additional Negative Terms
144,i trust the healthcare team with my recovery,positive,Financial Concerns
1542,my day has been alleviating,positive,Additional Positive Terms
1814,i feel realizing today,positive,Additional Positive Terms
568,the explanation was not compassionate plentiful and assured,positive,Additional Positive Terms
810,i feel accommodating and complimenting when discussing my health with the doctor,positive,Gratitude Toward Healthcare
1687,the treatment plan is not repercussions,negative,Side Effects
1459,i feel responsive about the information i received,positive,Additional Positive Terms
700,the overall experience was acceptable but not exceptional,neutral,Depression and Hopelessness
1960,ive been experiencing benign and accompanied in my recovery,positive,Social Support
872,the process was standard and nothing unusual,neutral,Hope for Future
836,the consultation was neither too long nor too short,neutral,Financial Concerns
187,i feel confident about my recovery after the treatment,positive,Physical Improvement
996,i received the prescribed medication as planned,neutral,Pain and Discomfort
349,i found the doctors explanation very reactions conquering and discontented,negative,Side Effects
259,i feel confident about my recovery after the treatment,positive,Depression and Hopelessness
689,the overall experience was acceptable but not exceptional,neutral,Hope for Future
191,the treatment plan was effective and reassuring,positive,Social Support
608,the side effects are careful resolved and refreshing,positive,Hope for Future
373,the doctors explanation was rushed and unhelpful,negative,Physical Improvement
1282,my day has been stabbing ill and petrified,negative,Physical Symptoms
143,i feel optimistic about the results of the therapy,positive,Social Support
396,the cost of treatment has been overwhelming,negative,Financial Concerns
756,my symptoms are not appalled troubled and dizzy,negative,Fear of Future
881,the treatment results are yet to be seen,neutral,Fear of Future
795,the overall experience was acceptable but not exceptional,neutral,Depression and Hopelessness
247,the doctor was very supportive and explained everything clearly,positive,Financial Concerns
193,im experiencing outraged and nervous levels of discomfort,negative,Emotional Distress
721,my day has been flexible constructive and elastic,positive,Additional Positive Terms
820,the consultation was neither too long nor too short,neutral,Hope for Future
907,i have empowered relieving and forthcoming in my healthcare team,positive,Trust in Healthcare
835,the appointment went as expected,neutral,Physical Improvement
803,the latest tests show my condition is costly,negative,Financial Concerns
837,my mood has been coherent since starting the new regimen,positive,Communication
1855,the side effects are troubled furious and frightened,negative,Fear of Future
1318,im experiencing expert accommodating and dependable levels of discomfort,positive,Cooperation
472,the pain is not encouraged confident and remedial,positive,Trust in Healthcare
201,i feel optimistic about the results of the therapy,positive,Hope for Future
943,i am waiting for further diagnosis before forming an opinion,neutral,Frustration
181,i am hopeful about my future health progress,positive,Social Support
395,ive been feeling appreciative and unified about my energy levels,positive,Additional Positive Terms
1058,im active educated and received with how the treatment is going,positive,Clarity
217,the nurses were caring and attentive during my stay,positive,Pain and Discomfort
764,the results are pending so i cannot comment fully,neutral,Treatment Concerns
1302,my symptoms are becoming more distant sapping and exasperated,negative,Additional Negative Terms
150,i felt comfortable and respected during my consultation,positive,Treatment Response
1853,i feel laidback and hopeful when discussing my health with the doctor,positive,Comfort
538,the doctors explanation was rushed and unhelpful,negative,Depression and Hopelessness
700,the overall experience was acceptable but not exceptional,neutral,Depression and Hopelessness
955,i am waiting for further diagnosis before forming an opinion,neutral,Physical Improvement
1152,the communication with the clinic has been defended and fearless,positive,Social Support
575,the treatment plan felt confusing and unclear,negative,Frustration
1579,the pain is not declining and dejected,negative,Worsening Condition
18,the treatment plan was effective and reassuring,positive,Communication
175,the improvements are rarely courageous,positive,Emotional Wellbeing
201,i feel optimistic about the results of the therapy,positive,Hope for Future
165,im hopeful the pain will become approving snug and indebted soon,positive,Gratitude Toward Healthcare
692,the process was standard and nothing unusual,neutral,Additional Positive Terms
287,im feeling fulfilling and integrated about continuing this course of treatment,positive,Additional Positive Terms
427,the pain is successful and adaptable,positive,Treatment Response
316,i trust the healthcare team with my recovery,positive,Fear of Future
736,the hospital environment was clean and organized,neutral,Fear of Future
825,the appointment went as expected,neutral,Trust in Healthcare
180,the nurses were caring and attentive during my stay,positive,Depression and Hopelessness
497,the medication caused side effects and discomfort,negative,Physical Improvement
452,i feel restful regarding my care,positive,Comfort
1310,my mood has not been uncommon,negative,Additional Negative Terms
609,the waiting time was too long and frustrating,negative,Additional Negative Terms
654,the hospital staff seemed inattentive to my concerns,negative,Treatment Concerns
1756,i do not feel doubtful insubstantial and untutored,negative,Additional Negative Terms
1340,the side effects are not incensed,negative,Frustration
678,my health is not harmful,negative,Additional Negative Terms
852,i received the prescribed medication as planned,neutral,Fear of Future
949,my mood has not been protected,positive,Social Support
62,i feel confident about my recovery after the treatment,positive,Treatment Response
921,the hospital environment was clean and organized,neutral,Additional Negative Terms
127,i feel confident about my recovery after the treatment,positive,Hope for Future
84,my symptoms are becoming more promising and uplifted,positive,Additional Positive Terms
1990,the improvements are rarely expectant,positive,Hope for Future
523,there is no outcomes in my condition,negative,Side Effects
178,the nurses were caring and attentive during my stay,positive,Depression and Hopelessness
1746,the latest tests show my condition is reluctant,negative,Confusion
828,the process was standard and nothing unusual,neutral,Frustration
1231,the treatment plan seems to be hospitable,positive,Additional Positive Terms
47,i trust the healthcare team with my recovery,positive,Fear of Future
1838,this whole situation has made me feel reasonable fulfilled and sufficient,positive,Additional Positive Terms
374,my symptoms have not improved despite the treatment,negative,Social Support
1174,im looking forward to a outcome and prohibited future,negative,Side Effects
540,my symptoms have not improved despite the treatment,negative,Social Support
283,i feel optimistic about the results of the therapy,positive,Frustration
565,i did not feel heard during my consultation,negative,Communication
11,my mood has not been ramifications abhorrent and doubtful,negative,Additional Negative Terms
116,im grave and mischaracterized about my condition,negative,Additional Negative Terms
1475,im concerned about the intolerant and despondent impact of the therapy,negative,Depression and Hopelessness
103,i feel confident about my recovery after the treatment,positive,Physical Improvement
572,i feel hopeless about my condition,negative,Financial Concerns
773,i am not beholden and positive with the treatment,positive,Treatment Response
744,the latest tests show my condition is abhorrent,negative,Additional Negative Terms
506,my symptoms are not fatigued and detached,negative,Additional Negative Terms
1601,each day im feeling a little more unworried and learned,positive,Comfort
1867,today i feel alleviated,positive,Relief and Recovery
547,the hospital staff seemed inattentive to my concerns,negative,Treatment Concerns
346,i did not feel heard during my consultation,negative,Treatment Concerns
1084,i feel fierce unsupportable and untutored regarding my care,negative,Additional Negative Terms
975,the treatment results are yet to be seen,neutral,Social Support
563,the waiting time was too long and frustrating,negative,Fear of Future
564,the waiting time was too long and frustrating,negative,Physical Improvement
603,i do not feel attentive discerned and plenty,positive,Additional Positive Terms
529,i feel progressed about the information i received,negative,Worsening Condition
932,the treatment results are yet to be seen,neutral,Financial Concerns
1186,my symptoms are not contactable,positive,Additional Positive Terms
656,the treatment plan felt confusing and unclear,negative,Social Support
854,the service was average not particularly good or bad,neutral,Hope for Future
1957,ive been dealing with a restless and overpriced feeling in my joints,negative,Emotional Distress
1190,im experiencing resistant downcast and opaque levels of discomfort,negative,Depression and Hopelessness
1436,i have inflexible in my healthcare team,negative,Additional Negative Terms
1493,ive been experiencing shut obscure and furious in my recovery,negative,Additional Negative Terms
1300,im experiencing perceived and precise levels of discomfort,positive,Clarity
195,i feel optimistic about the results of the therapy,positive,Frustration
469,im feeling thorough and renewing about continuing this course of treatment,positive,Communication
1608,my symptoms are not painful fatigued and worsening,negative,Physical Symptoms
823,the hospital environment was clean and organized,neutral,Frustration
461,the cost of treatment has been overwhelming,negative,Social Support
320,although the treatment is rational i still feel positive,positive,Additional Positive Terms
731,i found the doctors explanation very devalued and insupportable,negative,Additional Negative Terms
499,i am dissatisfied with the overall communication,negative,Emotional Wellbeing
112,the treatment plan was effective and reassuring,positive,Emotional Wellbeing
682,i am waiting for further diagnosis before forming an opinion,neutral,Additional Negative Terms
22,my experience at the hospital has been excellent,positive,Financial Concerns
461,the cost of treatment has been overwhelming,negative,Social Support
347,the latest tests show my condition is obliged,positive,Gratitude Toward Healthcare
396,the cost of treatment has been overwhelming,negative,Financial Concerns
1897,the treatment plan is not hostile,negative,Additional Negative Terms
802,the consultation was neither too long nor too short,neutral,Depression and Hopelessness
97,my general disposition has been eager and responsive,positive,Hope for Future
1588,my day has been assimilated rational and honest,positive,Communication
1160,the pain is sparse,negative,Additional Negative Terms
139,the doctor was very supportive and explained everything clearly,positive,Fear of Future
253,i am hopeful about my future health progress,positive,Social Support
861,the process was standard and nothing unusual,neutral,Social Support
635,im feeling quite endurable customary and grateful about my prognosis,positive,Treatment Response
1856,although the treatment is peaceful i still feel peaceful,positive,Comfort
584,im amiable and precise about my condition,positive,Communication
864,the treatment results are yet to be seen,neutral,Fear of Future
189,i am hopeful about my future health progress,positive,Financial Concerns
128,my experience at the hospital has been excellent,positive,Depression and Hopelessness
613,the cost of treatment has been overwhelming,negative,Trust in Healthcare
233,i trust the healthcare team with my recovery,positive,Trust in Healthcare
233,i trust the healthcare team with my recovery,positive,Trust in Healthcare
1126,the treatment plan is not caring and thankful,positive,Gratitude Toward Healthcare
1978,since the treatment ive been receptive and regulated,positive,Additional Positive Terms
38,i feel optimistic about the results of the therapy,positive,Treatment Concerns
564,the waiting time was too long and frustrating,negative,Physical Improvement
871,the appointment went as expected,neutral,Treatment Response
415,the waiting time was too long and frustrating,negative,Depression and Hopelessness
973,the service was average not particularly good or bad,neutral,Additional Positive Terms
972,the treatment results are yet to be seen,neutral,Communication
283,i feel optimistic about the results of the therapy,positive,Frustration
1291,im seeing dubious signs of progress,negative,Additional Negative Terms
1786,each day im feeling a little more detached and unbending,negative,Additional Negative Terms
920,the consultation was neither too long nor too short,neutral,Trust in Healthcare
